Code_terrain	Secteur	Code_secteur	Type	Numero_unique	Code_unique	Nom_nid_nichoir	Localisation	Position	Orientation	Materiel	Installation - Remarques	INSEE_COM	NOM_COMM	CODE_DEPT	NOM_DEPT	NOM_REGION	LATITUDE	LONGITUDE	ALTITUDE
233	Fure	F	B	B20a	FB20a	Cote_manin	"Sous le pont sur le bras ""mort"", car l'autre bras a trop de courant pour etre a l'aise (et pont trop bas) - descente par le chemin entre les deux bras, ne pas aller trop loin car vase"	A COMPLETER				38013	APPRIEU	38	ISERE	RHONE-ALPES	45,3790430	5,4962250	383
234	Fure	F	B	B21a	FB21a	Cote_manin_aval	Pas sous un pont, mais sur structure d'ancien barrage	A COMPLETER			Installe en novembre 2015 - sur montant de l'ancien barrage - Enleve par pecheurs en mars 2016	38013	APPRIEU	38	ISERE	RHONE-ALPES	45,3779551	5,4947733	377
235	Fure	F	B	B22a	FB22a	Prairies	"Sous passerelle en bois, au-dessus bras ""mort"" (boueux mais courant et tres proche du cours principal). Pas d'equerre ni trou (visser dans le bois). Descendre vers les batiments et se garder sur petit parking au fond"	A COMPLETER				38013	APPRIEU	38	ISERE	RHONE-ALPES	45,3731449	5,4898623	371
236	Fure	F	B	B23a	FB23a	Grand_voye	Pas sous un pont, mais sur structure d'ancien barrage	A COMPLETER			Installe en janvier 2016 - sur montant ancien barrage (pas sous un pont) - acces a pied depuis Pastieres - Enleve par pecheurs en mars 2016	38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3722198	5,4943657	367
237	Fure	F	B	B24a	FB24a	Pastieres	Sous pont de la riviere principale, en face restes de nid	A COMPLETER				38337	RIVES	38	ISERE	RHONE-ALPES	45,3692125	5,4957176	363
240	Fure	F	B	B25a	FB25a	Grande_maison	Sous passerelle en bois, juste avant la separation en deux bras. Aller a pied le long du chemin depuis Pastieres, longer la retenue d'eau	A COMPLETER			Installe en janvier 2016	38337	RIVES	38	ISERE	RHONE-ALPES	45,3628958	5,4971123	354
241	Fure	F	B	B26a	FB26a	Levatel	Sous passerelle en bois en aval de Grande_maison	A COMPLETER			Pose le 21/02/2017	38337	RIVES	38	ISERE	RHONE-ALPES	45,3622400	5,5013931	347
243	Fure	F	B	B27a	FB27a	Rentiere_cascade	Mur rive droite de la cascade, acces a pied depuis Poype	A COMPLETER				38337	RIVES	38	ISERE	RHONE-ALPES	45,3592924	5,5052340	342
245	Fure	F	B	B28a	FB28a	Rentiere	Sous passerelle menant a transformateur (usine electrique), au debut de la zone stagnante - acces a pied depuis Poype				Installe en janvier 2016	38337	RIVES	38	ISERE	RHONE-ALPES	45,3600840	5,5073208	341
246	Fure	F	B	B29a	FB29a	Poype	Sous le pont pres des maisons, descente cote rive droite, assez profond, rester sur le bord - verifier aussi l'ancien barrage en aval - se garer dans la descente assez haut (parking prives en bas pres de la riviere)	A COMPLETER				38337	RIVES	38	ISERE	RHONE-ALPES	45,3566236	5,5065751	335
247	Fure	F	B	B30a	FB30a	Chutes_poype	Sous l'ancienne usine, dans tunnel, cote vieux tuyau en beton, peu de courant  - verifier aussi la chute d'eau en aval, trou dans mur rive gauche (attention on se mouille, prendre impermeable)	RG	Donne vers l'aval	Lampe		38337	RIVES	38	ISERE	RHONE-ALPES	45,3539774	5,5070472	330
249	Fure	F	B	B31a	FB31a	Bruyeres	Sous petit pont etroit sur affluent, cote aval (mais descente par l'amont - attention assez profond surtout au debut du tunnel	Mileu / aval	Donne vers l'aval	Lampe		38337	RIVES	38	ISERE	RHONE-ALPES	45,3542865	5,5170250	335
251	Fure	F	B	B32a	FB32a	Rives_centre_chana	Descendre en amont RG	A COMPLETER		RAS		38337	RIVES	38	ISERE	RHONE-ALPES	45,3496646	5,5100620	320
252	Fure	F	B	B33a	FB33a	Liampre_amont	Cote amont du tunnel. Descente en aval RD	RG	Donne vers RD	Lampe	Pose le 27/09/18	38337	RIVES	38	ISERE	RHONE-ALPES	45,3487670	5,5095780	319
254	Fure	F	B	B34a	FB34a	Liampre	Descendre par parking le long de la riviere	A COMPLETER				38337	RIVES	38	ISERE	RHONE-ALPES	45,3486769	5,5077553	318
255	Fure	F	B	B35a	FB35a	Gua	Sous pont ou la riviere passe sous l'usine. Descente en amont rive gauche en face des tuyaux, juste en entrant dans l'eau attention un peu profond	Milieu / amont	Donne vers l'amont	Lampe		38337	RIVES	38	ISERE	RHONE-ALPES	45,3441818	5,5023573	311
258	Fure	F	B	B36a	FB36a	Gua_aval	A COMPLETER				A poser ?	38332	RENAGE	38	ISERE	RHONE-ALPES	45,3426671	5,5015862	307
259	Fure	F	B	B37a	FB37a	Garin	A COMPLETER			Petite echelle( pour faciliter descente)		38332	RENAGE	38	ISERE	RHONE-ALPES	45,3384516	5,4962540	300
261	Fure	F	B	B38a	FB38a	Allivet_cascade	Se garer au niveau de l'usine, remonter le long des vieux batiments, descendre au dernier avec petite echelle (murs), nichoir sous la premiere ancienne sortie d'eau rive droite (dans renfoncement sous batiment presque en face de la cascade)	RD		Petite echelle( pour descente)		38332	RENAGE	38	ISERE	RHONE-ALPES	45,3386741	5,4944301	281
262	Fure	F	B	B39a	FB39a	Allivet	Sous pont devant batiment administratif des usines	A COMPLETER				38332	RENAGE	38	ISERE	RHONE-ALPES	45,3379670	5,4924184	280
263	Fure	F	B	B40a	FB40a	Allivet_usine	Sous batiment usine, descendre cote aval	A COMPLETER				38332	RENAGE	38	ISERE	RHONE-ALPES	45,3369960	5,4922092	278
265	Fure	F	B	B41a	FB41a	Charriere	2e pont, assez stagnant	A COMPLETER				38332	RENAGE	38	ISERE	RHONE-ALPES	45,3332929	5,4912222	276
266	Fure	F	B	B42a	FB42a	Guillionniere_amont	Descendre en amont et longer rive droite	A COMPLETER		Petite echelle		38332	RENAGE	38	ISERE	RHONE-ALPES	45,3325331	5,4913536	272
268	Fure	F	B	B43a	FB43a	Guillionniere	Sous chapelle renovee, descendre en amont parmi les bambous et longer la rive	A COMPLETER				38332	RENAGE	38	ISERE	RHONE-ALPES	45,3311170	5,4916889	270
270	Fure	F	B	B44a	FB44a	Bourretiere_amont	Sous tunnel de l'usine en amont du nichoir, sur pilier. Attention fond pas regulier. Venir de l'aval par le chemin en se garant comme pour Bourretiere	Milieu	Donne vers l'amont	Lampe		38332	RENAGE	38	ISERE	RHONE-ALPES	45,3237023	5,4913429	258
272	Fure	F	B	B45a	FB45a	Bourretiere	Au bout du chemin (carrossable), venir par le sud	A COMPLETER				38332	RENAGE	38	ISERE	RHONE-ALPES	45,3221181	5,4929762	255
273	Fure	F	B	B46a	FB46a	Bergere	Passerelle herbeuse a cote du chateau d'eau	A COMPLETER				38332	RENAGE	38	ISERE	RHONE-ALPES	45,3177011	5,4917746	245
275	Fure	F	B	B47a	FB47a	Hurtieres	"Sous pont du 1er bras ""mort"" / canal vers nord, descendre par les arbres en amont, rive droite"	A COMPLETER				38517	TULLINS	38	ISERE	RHONE-ALPES	45,3130650	5,4863941	236
279	Fure	F	B	B48a	FB48a	Hurtieres_aval	Sous passerelle en aval du 1er nichoir et du pont suivant, se garer a cote poubelles et descendre rive gauche	A COMPLETER		Corde		38517	TULLINS	38	ISERE	RHONE-ALPES	45,3127311	5,4864478	235
280	Fure	F	B	B49a	FB49a	Balmes	Dans l'enceinte de l'usine, passerelle dans la cour entre maison et entrepot	A COMPLETER				38517	TULLINS	38	ISERE	RHONE-ALPES	45,3097414	5,4923058	213
281	Fure	F	B	B50a	FB50a	Fures_centre	Sous pont de la N92, entre deux sous-terrains sous les batiments, descendre par la barriere verte, le long du mur, puis longer sur le rebord car trop profond au milieu (nichoir rive gauche)	RG	A COMPLETER			38517	TULLINS	38	ISERE	RHONE-ALPES	45,3091076	5,4964256	208
283	Fure	F	B	B51a	FB51a	Grange_pres	Sous passerelle qui mene vers le champ, 1er bras de la Fure dedoublee (se rejoint juste apres). Un peu profond mais peu de courant	A COMPLETER				38517	TULLINS	38	ISERE	RHONE-ALPES	45,3065723	5,5062640	194
284	Fure	F	B	B52a	FB52a	Jean_chepy	Sous pont rive droite (deux ponts) ou courant le plus fort mais moins profond	RD	A COMPLETER			38517	TULLINS	38	ISERE	RHONE-ALPES	45,3036217	5,5103195	190
285	Fure	F	B	B53a	FB53a	Vernet	RAS 	A COMPLETER				38517	TULLINS	38	ISERE	RHONE-ALPES	45,2935015	5,5219388	185
202	Fure	F	N	N01a	FN01a	Caserne_aval	Juste au niveau du mini-barrage, cote aval, rive droite du cours principal	RD		RAS		38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4244873	5,5185592	487
204	Fure	F	N	N02a	FN02a	Bosquet_plan_amont	Sous l'aval du tunnel en amont du pont au nichoir. Acces en remontant RD le long de la riviere (ouvrir petit portail)	RD	Donne vers RG / aval		2018	38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4212229	5,5190018	484
208	Fure	F	N	N03a	FN03a	Guillermet_aval_2	A l'entree amont du tunnel, dans trou au dessus du nichoir	RG	Donne vers RD	Petite echelle	2015 - 2016	38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4130216	5,5311441	470
209	Fure	F	N	N04a	FN04a	Guillermet_tunnel	A l'amont du 1er tunnel. Acces soit par l'aval et remonter tout le tunnel soit en passant sous la grille de l'usine (plus rapide!)	RG	Donne vers RD	Echelle telescopique	2017 - 2018	38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4108939	5,5314445	465
210	Fure	F	N	N05a	FN05a	Papeterie_mur	En amont du nichoir, rive droite, sur le mur apres canalisation, 4eme meurtriere, ras de l'eau	RD	RAS	Fontale	2015	38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4095081	5,5320239	460
212	Fure	F	N	N06a	FN06a	Fontenettes_amont	Au niveau de la cascade, dans le tuyau qui debouche rive gauche - attention, courant fort au pied de la cascade	RG	Donne vers l'aval	RAS	2017	38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4078359	5,5326247	456
213	Fure	F	N	N07a	FN07a	Fontenettes_souche	Vieux nid sur une branche d'arbre / souche en surplomb de la riviere, localisation non connue precisement	RAS	RAS	RAS	2016	38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4052146	5,5330968	450
216	Fure	F	N	N08a	FN08a	Planes_2	Dans trous sur le mur au-dessus du nichoir			Echelle	2015	38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,3984650	5,5339765	442
217	Fure	F	N	N09a	FN09a	Bonpertuis_amont	Sous pont en pierre, bien visible de la route en allant vers le sud				2015: , nid 4.4 (F) le 23 mars.	38013	APPRIEU	38	ISERE	RHONE-ALPES	45,3965515	5,5319595	436
220	Fure	F	N	N10a	FN10a	Ravignhouse_est	Sous pont en amont de ravignhouse. Descente en aval RD par petit chemin			Petite echelle	2015	38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3918079	5,5228373	432
222	Fure	F	N	N11a	FN11a	Ravignhouse_2	Environ 15 m en amont du pont, sous arche ancienne arrivee de canalisation	RG	Donne vers l'amont	Petite echelle	2015	38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3930859	5,5212736	423
225	Fure	F	N	N12a	FN12a	Planche_cattin_2	Descendre en amont RG et passer les poutres basses, le nid est rive gauche au-dessus du gros tuyau	RG	RAS	Lampe	2016	38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3906353	5,5048505	407
227	Fure	F	N	N13a	FN13a	Billionnieres_amont_2	Nid naturel sous tunnel stagnant et profond: accessibilite rive droite, acces en remontant de Billionniere - 2016: dans meme tunnel, mais pas au fond, et accessible, plus devant	A COMPLETER			2015 et 2016	38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3896144	5,5015366	406
232	Fure	F	N	N14a	FN14a	Rivier_cascade_2	Le long de la cascade, vers le bas	A COMPLETER				38013	APPRIEU	38	ISERE	RHONE-ALPES	45,3844661	5,4989147	402
238	Fure	F	N	N15a	FN15a	Pastieres_2	Sous 2e pont, bras plus stagnant (2 vieux nids)	A COMPLETER				38337	RIVES	38	ISERE	RHONE-ALPES	45,3692200	5,4960394	363
239	Fure	F	N	N16a	FN16a	Pastieres_aval	Aller a pied en suivant le chemin qui longe le canal (rive droite de la riviere principale). Nid sur le mur cote rive droite de la sortie du canal, dans la mini-cascade. Traverser sur le montant en fer et descendre par la rive gauche	A COMPLETER			2014 et 2015: nid sur mur le long de l'ancienne porte du canal, juste a cote de la maison abandonnee juste apres le pont de chemin de fer	38337	RIVES	38	ISERE	RHONE-ALPES	45,3660881	5,4972893	358
242	Fure	F	N	N17a	FN17a	Levatel_2	Sous racines a environ 50 m en aval du nichoir, rive gauche, proche tournant de la riviere	RG	RAS			38337	RIVES	38	ISERE	RHONE-ALPES	45,3621570	5,5024338	347
244	Fure	F	N	N18a	FN18a	Rentiere_amont	Sous cascade, juste sous rebord vers le haut du mur (un reste en haut pour ecarter eau, verifier toute la largeur de la cascade)	Milieu	Donne vers l'aval	RAS	2016	38337	RIVES	38	ISERE	RHONE-ALPES	45,3593037	5,5052394	342
248	Fure	F	N	N19a	FN19a	Chutes_poype_2	Nid sous passerelle en amont du tunnel au nichoir	RD	RAS	Echelle telescopique ; Impermeable	2015 ; 2018	38337	RIVES	38	ISERE	RHONE-ALPES	45,3540584	5,5070043	330
250	Fure	F	N	N20a	FN20a	Bruyeres_2	Nid cote aval du pont	RAS	RAS	Lampe		38337	RIVES	38	ISERE	RHONE-ALPES	45,3542488	5,5170035	335
253	Fure	F	N	N21a	FN21a	Liampre_amont_2	Sous tunnel en amont du nichoir, plusieurs trous			Lampe	"Rives centre chana 2 - Dans tunnel en contrebas du parking, rive gauche dans une ""meurtriere"""	38337	RIVES	38	ISERE	RHONE-ALPES	45,3486355	5,5093753	319
256	Fure	F	N	N22a	FN22a	Gua_2	Sous meme pont que nichoir, plus loin a l'interieur du tunnel, rive droite	RD	RAS	Lampe	2015	38337	RIVES	38	ISERE	RHONE-ALPES	45,3441545	5,5023225	311
257	Fure	F	N	N23a	FN23a	Gua_3	A 8m en amont de Gua 2 sur rive droite, c'est un vieux nid seul reactive	A COMPLETER		Lampe	2015	38337	RIVES	38	ISERE	RHONE-ALPES	45,3441653	5,5023331	311
260	Fure	F	N	N24a	FN24a	Garin_2	Descente en aval RG	RD		Petite echelle( pour faciliter descente)		38332	RENAGE	38	ISERE	RHONE-ALPES	45,3384516	5,4962540	300
264	Fure	F	N	N25a	FN25a	Allivet_usine_2	Sous tunnel du nichoir	RG	RAS	RAS	Anciennement appele Allivet aval	38332	RENAGE	38	ISERE	RHONE-ALPES	45,3369960	5,4922092	278
267	Fure	F	N	N26a	FN26a	Guillionniere_amont_2	Deux nids, un dans cavite du mur rive gauche et un sur l'arche, vers le milieu du pont	RG et Milieu		Petite echelle	2016	38332	RENAGE	38	ISERE	RHONE-ALPES	45,3325463	5,4913777	272
269	Fure	F	N	N27a	FN27a	SPA	Sous tunnel en aval de l'eglise renovee // RD au niveau de la petite cascade (acces difficile car profond)	A COMPLETER			2016	38332	RENAGE	38	ISERE	RHONE-ALPES	45,3290918	5,4914045	268
271	Fure	F	N	N28a	FN28a	Bourretiere_amont_2	Dans tunnel sous usine (idem nichoir). Juste un peu plus en amont que le nichoir (jonction entre le mur et le plafond)	RD		Echelle telescopique ou 3 pans	2015	38332	RENAGE	38	ISERE	RHONE-ALPES	45,3238268	5,4913079	258
274	Fure	F	N	N29a	FN29a	Bergere_aval	Sous usine, dans canal : pas d'acces! Vieux nid - sur le canal a cote de la riviere, sous le batiment, c'est trop juste en wadders (1.30m) et le nid est au fond du tunnel a 3m au dessus de l'eau. Prevoir echasses? (pas de courant)	A COMPLETER			2015	38332	RENAGE	38	ISERE	RHONE-ALPES	45,3166393	5,4909432	242
276	Fure	F	N	N30a	FN30a	Hurtieres_2	Sous passerelle aval des deux grands ponts, rive gauche. Assez profond, attention!	RG	A COMPLETER		2015	38517	TULLINS	38	ISERE	RHONE-ALPES	45,3127557	5,4864424	235
277	Fure	F	N	N31a	FN31a	Hurtieres_3						38517	TULLINS	38	ISERE	RHONE-ALPES	45,3127311	5,4864478	235
278	Fure	F	N	N32a	FN32a	Hurtieres_4	Dans cavite mur	RD	A COMPLETER		2018	38517	TULLINS	38	ISERE	RHONE-ALPES	45,3128930	5,4863660	235
282	Fure	F	N	N33a	FN33a	Fures_centre_2	Nid probable dans tunnel sous route	A COMPLETER				38517	TULLINS	38	ISERE	RHONE-ALPES	45,3091076	5,4964256	208
287	Hyeres	H	B	B01a	HB01a	Jubin	Descente en aval	RD / aval	Donne vers l'aval	RAS		73246	SAINT-JEAN-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,4640737	5,8251679	767
286	Hyeres	H	B	B02a	HB02a	Jean_couz	Sous petit pont dans village	RD	Donne vers RG	RAS		73246	SAINT-JEAN-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,4678472	5,8185375	635
288	Hyeres	H	B	B03a	HB03a	Heritiers	Sortie aval du pont	RD	Donne vers RG	RAS		73282	SAINT-THIBAUD-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,4739077	5,8236337	621
289	Hyeres	H	B	B04a	HB04a	Pont_manque	Descente en amont RD	RD	Donne vers RG	RAS		73282	SAINT-THIBAUD-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,4759240	5,8257902	598
290	Hyeres	H	B	B05a	HB05a	Gros_louis	Descente en aval RG ou RD	RG	Donne vers RD	RAS		73282	SAINT-THIBAUD-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,4868691	5,8336222	543
291	Hyeres	H	B	B06a	HB06a	Simon	Descente en amont RG (petit portail)	RG	Donne vers RD / amont	RAS		73282	SAINT-THIBAUD-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,4973384	5,8386058	507
292	Hyeres	H	B	B07a	HB07a	Pollets	Descente en amont RD	Milieu	Donne vers l'aval	RAS		73282	SAINT-THIBAUD-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,4975789	5,8379888	507
293	Hyeres	H	B	B08a	HB08a	Thibaud_couz_centre	Descente en amont RD	RD	Donne vers RG	RAS		73282	SAINT-THIBAUD-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,5013371	5,8424976	491
294	Hyeres	H	B	B09a	HB09a	Thibaud_couz_nord	Dans tunnel affluent. Descente en aval RD	Milieu	Donne vers l'aval / RG	Echelle telescopique	Deplace le 24 janvier 2017	73282	SAINT-THIBAUD-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,5026173	5,8450269	495
295	Hyeres	H	B	B10a	HB10a	Jacquet	Dans petit tunnel. Descente en amont RG (petit portail)	A COMPLETER		Lampe		73282	SAINT-THIBAUD-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,5048581	5,8407784	500
296	Hyeres	H	B	B11a	HB11a	Quillere	Descente en aval RG. Profond (entrejambe) mais peu de courant et plat (betonne)	RG	Donne vers RD	RAS		73282	SAINT-THIBAUD-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,5136325	5,8511960	474
297	Hyeres	H	B	B12a	HB12a	Praire	Descente en aval RG	RG	Donne vers l'aval	RAS	Vieux nid present a l'automne 2014!	73282	SAINT-THIBAUD-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,5203870	5,8539909	470
299	Hyeres	H	B	B13a	HB13a	Quidoz	Descente en amont RG (portail champs)	RD	Donne vers l'aval	Echelle telescopique		73326	VIMINES	73	SAVOIE	RHONE-ALPES	45,5320789	5,8460288	557
304	Hyeres	H	B	B14a	HB14a	Creux_amont						73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5286666	5,8601654	427
308	Hyeres	H	B	B15a	HB15a	Jouan	Dans tunnel voie ferree	A COMPLETER			Pose le 23/02/2017 (reposer plus loin dans le tunnel en 2018� a voir si les oiseaux s'installent!)	73326	VIMINES	73	SAVOIE	RHONE-ALPES	45,5313386	5,8598864	406
306	Hyeres	H	B	B16a	HB16a	Creux	Descente en amont RG	RG	Donne vers RD	RAS		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5308576	5,8619785	410
309	Hyeres	H	B	B17a	HB17a	Cascade_fer	Sous tunnel route et voie ferree affluent. Descente en aval RG	RD	Donne vers l'aval	Lampe	Pose le 24 janvier 2017	73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5338375	5,8649504	395
312	Hyeres	H	B	B18a	HB18a	Cascade	Descente en amont RD ou RG	RG	Donne vers RD	RAS		73326	VIMINES	73	SAVOIE	RHONE-ALPES	45,5357689	5,8660126	379
313	Hyeres	H	B	B19a	HB19a	Cascade_aval	"Sous rebord du canal qui part depuis la cascade RD ; derriere rideau d'eau lorsque le niveau est haut ; attention descente RG et acces en contournant (zone profonde en aval de la cascade, rester bien au bord)"	RD	Donne vers l'aval	Impermeable	Pose le 24 sept 2018	73326	VIMINES	73	SAVOIE	RHONE-ALPES	45,5365470	5,8667530	374
316	Hyeres	H	B	B20a	HB20a	Plantees	A COMPLETER				2018	73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5398269	5,8716131	362
319	Hyeres	H	B	B21a	HB21a	Brilles	Descente en aval RD	Milieu	Donne vers l'aval	Echelle 3 pans ou telescopique?	Pose le 24 sept 2018. Ancien nichoir RG mais trop au soleil.	73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5436368	5,8787370	346
321	Hyeres	H	B	B22a	HB22a	Brilles_aval	RAS	RD	Donne vers RG	Echelle ?		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5450945	5,8820844	340
322	Hyeres	H	B	B23a	HB23a	Tiolliere	A COMPLETER				Non remis	73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5461614	5,8848310	334
323	Hyeres	H	B	B24a	HB24a	Tiolliere_fer	Dans tunnel. Descente en aval RG (attention c'est raide et ca glisse)	RG	Donne vers RD	RAS		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5457818	5,8852858	337
341	Hyeres	H	B	B25a	HB25a	Beauregard	Descente en amont RG	RG	Donne vers RD	RAS		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5509231	5,8912602	308
343	Hyeres	H	B	B26a	HB26a	Culees	Descente en aval RG	RG	Donne vers RD	Echelle	Pose le 24/01/2017	73087	COGNIN	73	SAVOIE	RHONE-ALPES	45,5507597	5,8935964	319
326	Hyeres	H	B	B27a	HB27a	Alberges	Descente en amont RG	Milieu / amont	Donne vers l'amont	RAS	Ruisseau petit au 22/10/2014, mais plein de crottes et vu un individu	73160	MONTAGNOLE	73	SAVOIE	RHONE-ALPES	45,5443055	5,8988160	370
327	Hyeres	H	B	B28a	HB28a	Cesolet	Dans buse ronde. Descente en amont RD	Milieu / aval	Donne vers l'aval	RAS	Petit ruisseau, gros tuyau, mais crottes	73160	MONTAGNOLE	73	SAVOIE	RHONE-ALPES	45,5396844	5,9017341	413
334	Hyeres	H	B	B29a	HB29a	Bois_collat	A COMPLETER			RAS		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5297114	5,9009027	562
328	Hyeres	H	B	B30a	HB30a	Grigon	Descente en amont RG	RG	Donne vers RD	Echelle		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5333566	5,8916438	492
330	Hyeres	H	B	B31a	HB31a	Couvent	Descente en amont ou aval RD	RD	Donne vers RG	RAS		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5291778	5,8939183	549
335	Hyeres	H	B	B32a	HB32a	Brujat	Chemin carrossable mais ne pas descendre jusqu'au bout si boueux. Descente en aval RD	Milieu	Donne vers l'aval	RAS		73160	MONTAGNOLE	73	SAVOIE	RHONE-ALPES	45,5210036	5,8968902	690
331	Hyeres	H	B	B33a	HB33a	Chantres	Descente en amont RD	RG	Donne vers RD	RAS	Peu d'eau sur mur de cote, eventuellement a reinstaller au plafond, mais avec escabeau de 3 m dans ce cas car haut!!	73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5185754	5,8899432	663
332	Hyeres	H	B	B34a	HB34a	Rave	Descente en aval RD	Milieu	Donne vers l'aval	RAS		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5156322	5,8852279	722
333	Hyeres	H	B	B35a	HB35a	Rave_sud	Descente en amont RD	A COMPLETER		RAS		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5124220	5,8831251	770
340	Hyeres	H	B	B36a	HB36a	Pont_neuf	Descente en amont RG	RD			A installer en automne 2018	73087	COGNIN	73	SAVOIE	RHONE-ALPES	45,5618830	5,9006180	283
339	Hyeres	H	B	B37a	HB37a	Salins	Descente en aval	Milieu	Donne vers l'aval	Echelle	Pose le 24 janvier 2017	73087	COGNIN	73	SAVOIE	RHONE-ALPES	45,5567173	5,9031236	295
338	Hyeres	H	B	B38a	HB38a	Peisse	Descente en amont RG	RG	Donne vers l'aval	RAS	Pose le 24 janvier 2017	73137	JACOB-BELLECOMBETTE	73	SAVOIE	RHONE-ALPES	45,5534118	5,9113097	362
337	Hyeres	H	B	B39a	HB39a	Bellecombette	Descente en amont RD	Milieu	Donne vers RG	RAS	Pose le 24 janvier 2017	73137	JACOB-BELLECOMBETTE	73	SAVOIE	RHONE-ALPES	45,5473411	5,9188414	420
336	Hyeres	H	B	B40a	HB40a	Pontet	Sous petit pont, a la fin du ruisseau car canalise sous terre ensuite	Milieu	Donne vers l'aval	RAS	Enleve en 2018 par agriculteur?	73160	MONTAGNOLE	73	SAVOIE	RHONE-ALPES	45,5414820	5,9166170	481
298	Hyeres	H	N	N01a	HN01a	Praire_aval	Dans rochers au milieu riviere, a 40m en aval du pont 	Milieu	RAS	RAS	2014 puis couple a demanage dans nichoir	73282	SAINT-THIBAUD-DE-COUZ	73	SAVOIE	RHONE-ALPES	45,5208869	5,8543289	466
300	Hyeres	H	N	N02a	HN02a	Quidoz_2	Au plafond, sous le meme pont que le nichoir			Echelle telescopique		73326	VIMINES	73	SAVOIE	RHONE-ALPES	45,5320789	5,8460288	557
301	Hyeres	H	N	N03a	HN03a	Tipi	Nid sur gros rocher rive droite	RD	Donne vers RG	RAS	2018	73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5241320	5,8548130	445
302	Hyeres	H	N	N04a	HN04a	Tipi_aval	Debut de nid sur falaise RG, env 50 m en aval de tipi	RG	Donne vers RD	RAS	2018	73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5248080	5,8550490	444
303	Hyeres	H	N	N05a	HN05a	Creux_amont_barrage	Au niveau ancien seuil de barrage, rive droite, le long du mur	RD	RAS	RAS	trouve en 2016 mais pas actif	73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5281200	5,8591020	426
305	Hyeres	H	N	N06a	HN06a	Creux_amont_2	Nid naturel place entre les deux buses qui relarguent de l'eau, un peu en aval de la maison a facade rose cote Chambery	RD	RAS	RAS		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5286666	5,8601654	425
307	Hyeres	H	N	N07a	HN07a	Creux_aval	Nid dans 1ere cascade en aval du nichoir - attention pas stable et profond en dessous	RAS	RAS	Echelle telescopique		73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5310567	5,8619356	406
310	Hyeres	H	N	N08a	HN08a	Cascade_fer_amont	En amont du tunnel, proche de l'eau, sur gros rocher	A COMPLETER				73228	SAINT-CASSIN	73	SAVOIE	RHONE-ALPES	45,5337924	5,8655190	387
